DEGs
TraesCS5A02G098900
TraesCS5A02G020800
TraesCS5A02G025500
TraesCS5A02G068600
TraesCS5A02G072000
TraesCS5A02G074200
TraesCS5A02G096400
TraesCS5A02G107500
TraesCS5A02G108500
TraesCS5A02G009700
TraesCS5A02G009800
TraesCS5A02G011000
TraesCS5A02G020800
TraesCS5A02G098200
TraesCS1A02G103900
TraesCS5A02G058600
TraesCS5A02G058700
TraesCS5A02G103100
TraesCS5A02G033500
TraesCS5A02G098900
TraesCS5A02G109400
TraesCS5A02G089200
TraesCS5A02G100600
TraesCS5A02G019200
TraesCS5A02G096400
TraesCS5A02G004000
TraesCS5A02G009700
TraesCS5A02G009800
TraesCS5A02G011000
TraesCS5A02G081400
TraesCS5A02G098200
TraesCS5A02G022100
TraesCS5A02G025900
TraesCS5A02G035000
TraesCS5A02G036200
TraesCS5A02G079100
TraesCS5A02G079500
TraesCS5A02G085800
TraesCS5A02G098900
TraesCS5A02G106500
TraesCS5A02G108000
TraesCS5A02G110300
TraesCS5A02G073600
TraesCS5A02G101700
TraesCS1A02G103900
TraesCS5A02G037100
TraesCS5A02G058100
TraesCS5A02G058600
TraesCS5A02G058700
TraesCS5A02G090500
TraesCS5A02G090800
TraesCS5A02G093600
TraesCS5A02G103100
TraesCS5A02G103900
TraesCS5A02G097200
TraesCS5A02G029800
TraesCS5A02G097200
TraesCS5A02G111700
TraesCS5A02G079100
TraesCS5A02G020800
TraesCS5A02G073600
TraesCS5A02G101700
TraesCS1A02G103900
TraesCS5A02G018000
TraesCS5A02G026300
TraesCS5A02G042600
TraesCS5A02G043400
TraesCS5A02G067200
TraesCS5A02G070700
TraesCS5A02G077600
TraesCS5A02G089400
TraesCS5A02G101700
TraesCS5A02G101700
TraesCS5A02G019600
TraesCS5A02G043400
TraesCS5A02G042600
TraesCS5A02G073600
TraesCS5A02G081400
TraesCS5A02G046900
TraesCS5A02G054400
TraesCS5A02G074900
TraesCS5A02G081400
TraesCS5A02G089300
TraesCS5A02G109400
TraesCS5A02G078400
TraesCS5A02G025400
TraesCS5A02G054100
TraesCS5A02G065300
TraesCS5A02G096000
TraesCS5A02G113400
TraesCS5A02G104200
TraesCS1A02G103600
TraesCS5A02G059500
TraesCS5A02G070700
TraesCS5A02G084700
TraesCS5A02G006200
TraesCS5A02G096000
TraesCS5A02G038300
TraesCS5A02G042600
TraesCS5A02G070700
TraesCS5A02G078400
TraesCS5A02G103900
TraesCS5A02G032500
TraesCS5A02G054500
TraesCS5A02G081400
TraesCS5A02G091800
TraesCS5A02G102300
