family,entry,haplotype,gh_stake,tube,DPA,FW,DW,GW,GL
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,4,0.1212,0.0271,3.5468,5.2696
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,4,0.1221,0.0274,3.4289,5.27
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,4,0.1317,0.0293,3.4218,5.5335
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,4,0.1005,0.021,3.4088,4.4875
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,4,0.1533,0.0345,3.4757,5.8358
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,4,0.1339,0.0301,3.4286,5.4688
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,4,0.1229,0.0268,3.4936,5.055
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,4,0.1378,0.0311,3.3852,5.4758
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,4,0.1445,0.0328,3.5508,5.7441
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,4,0.0987,0.0202,3.3884,4.4785
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,4,0.1159,0.0242,3.3864,4.6647
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,4,0.1227,0.0262,3.392,4.8762
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,4,0.1001,0.0186,3.2578,4.5339
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,4,0.1135,0.0243,3.4665,4.6517
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,4,0.1266,0.0283,3.4714,4.9984
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,4,0.1344,0.0296,3.4132,5.1496
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,4,0.1316,0.0286,3.458,5.5416
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,4,0.1334,0.0304,3.4611,5.3083
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,4,0.1261,0.0276,3.4965,4.7632
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,4,0.1939,0.0416,3.7675,5.4995
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,4,0.1652,0.0348,3.6635,5.4787
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,4,0.1528,0.0322,3.5852,5.3061
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,4,0.1559,0.0331,3.6131,5.5127
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,4,0.1833,0.0389,3.7053,5.6316
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,4,0.1712,0.0369,3.6648,5.4384
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,4,0.1509,0.0325,3.5565,5.1325
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,4,0.1751,0.0369,3.6356,5.6468
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,4,0.1741,0.0373,3.6575,5.4854
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,4,0.1531,0.0329,3.5157,5.219
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,10,0.5565,0.1329,4.4721,8.4084
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,10,0.5337,0.1251,4.4777,8.3369
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,10,0.4941,0.1188,4.2866,8.2168
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,10,0.5141,0.1202,4.3124,8.4378
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,10,0.5197,0.1209,4.3552,8.6067
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,10,0.5299,0.1252,4.5209,8.156
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,10,0.6104,0.1461,4.7004,8.6224
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,10,0.5724,0.1398,4.5347,8.4323
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,10,0.5699,0.1368,4.6241,8.5746
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,10,0.5587,0.1318,4.3996,8.6999
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,10,0.4957,0.1275,4.2801,8.1913
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,10,0.4785,0.1218,4.1805,8.2679
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,10,0.5388,0.1323,4.383,8.1985
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,10,0.4774,0.1193,4.2604,8.0663
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,10,0.5071,0.1382,4.2194,8.3235
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,10,0.4297,0.1018,4.149,8.2035
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,10,0.4622,0.1134,4.104,8.0567
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,10,0.4753,0.1133,4.325,8.1335
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,10,0.4838,0.1241,4.1392,8.5488
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,10,0.4315,0.1093,4.0662,7.8303
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,10,0.4928,0.1095,4.3114,8.2181
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,10,0.5161,0.1234,4.401,8.1558
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,10,0.4746,0.1156,4.1418,8.0948
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,10,0.4656,0.1161,4.0963,7.9059
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,10,0.5184,0.1327,4.3586,8.2887
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,10,0.4903,0.1178,4.2089,8.301
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,10,0.4851,0.1221,4.2776,8.129
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,10,0.4773,0.1134,4.2822,8.1719
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,10,0.4332,0.098,4.0933,7.8916
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,10,0.4717,0.1156,4.1926,8.1179
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,10,0.4885,0.124,4.24,8.25
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,10,0.4972,0.131,4.246,8.3807
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,10,0.4985,0.134,4.2392,8.4845
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,10,0.5089,0.1342,4.2398,8.6504
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,10,0.4765,0.1224,4.2009,8.0666
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,10,0.5297,0.1326,4.4797,8.1253
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,10,0.5777,0.1576,4.4389,8.7388
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,10,0.5524,0.1466,4.37,8.6237
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,10,0.4917,0.124,4.2267,8.2992
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,10,0.4677,0.1196,4.1817,8.002
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,16,0.9312,0.3486,5.2672,8.8581
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,16,0.8447,0.3159,5.0537,8.6158
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,16,0.8746,0.3178,5.115,8.6515
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,16,0.9217,0.34,5.2072,8.7526
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,16,0.9279,0.3285,5.2586,8.7992
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,16,0.8535,0.3131,5.1169,8.5848
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,16,0.9824,0.3422,5.4125,8.9172
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,16,0.9249,0.3392,5.2729,8.69
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,16,0.8447,0.3258,5.0728,8.6375
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,16,0.8999,0.3335,5.1725,8.5451
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,16,0.8141,0.3091,4.9415,8.607
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,16,0.7051,0.2867,4.7646,8.3256
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,16,0.6863,0.2753,4.5143,8.3082
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,16,0.6964,0.2459,4.7924,8.0087
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,16,0.7539,0.2852,4.8711,8.5132
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,16,0.7467,0.2959,4.8107,8.3686
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,16,0.6963,0.2811,4.6829,8.1885
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,16,0.7045,0.3056,4.6951,8.3697
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,16,0.6568,0.2789,4.5681,8.0212
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,16,0.6894,0.2933,4.7226,8.2928
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,16,0.8097,0.3112,4.926,8.4215
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,16,0.8444,0.3078,5.0183,8.5039
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,16,0.8677,0.3039,5.0515,8.7376
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,16,0.8399,0.3125,4.951,8.5009
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,16,0.8139,0.3166,5.0084,8.4315
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,16,0.7784,0.3125,4.9935,8.4392
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,16,0.9024,0.3346,5.1873,8.2894
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,16,0.8505,0.3266,5.0528,8.3944
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,16,0.9228,0.327,5.0831,8.7559
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,16,0.8941,0.3321,5.1968,8.4019
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,16,0.7325,0.3156,4.8571,8.6706
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,16,0.6464,0.2802,4.5299,8.1695
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,16,0.7482,0.3159,4.7637,8.8436
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,16,0.7667,0.3277,4.7963,8.5924
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,16,0.7013,0.2997,4.7832,8.659
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,16,0.7687,0.3238,4.8749,8.7253
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,16,0.8249,0.3276,4.9902,8.6941
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,16,0.8563,0.3118,5.1505,8.6569
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,16,0.7245,0.3062,4.7003,8.6664
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,16,0.7538,0.3279,4.694,8.7727
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,22,0.8656,0.4542,5.0387,8.4858
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,22,0.9316,0.4617,5.1125,8.5313
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,22,0.8759,0.4644,5.258,8.7478
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,22,0.8872,0.4451,4.9627,8.5295
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,22,0.9246,0.4518,5.1588,8.527
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,22,0.8334,0.4557,4.9655,8.7135
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,22,0.8523,0.4597,5.1976,8.7347
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,22,0.9101,0.4636,5.1492,8.6944
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,22,0.8776,0.4649,4.985,8.7695
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,22,0.9271,0.4624,5.1405,8.6693
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,22,0.7839,0.4034,4.9226,8.7163
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,22,0.7382,0.4124,4.6391,8.4174
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,22,0.7323,0.394,4.5869,8.5329
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,22,0.7439,0.4016,4.7289,8.3541
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,22,0.7806,0.4171,4.8044,8.5378
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,22,0.7168,0.4043,4.6402,8.0878
