family,entry,haplotype,gh_stake,tube,DPA,FW,DW,GW,GL
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,sen.,0.3822,0.3822,3.3049,6.9995
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,sen.,0.397082822,0.397082822,3.6121,6.8614
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,sen.,0.405260417,0.405260417,3.6158,6.9059
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,sen.,0.4657,0.4657,3.7566,7.1007
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,sen.,0.4661,0.4661,3.6958,7.1913
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,sen.,0.4798,0.4798,3.4089,6.7503
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,sen.,0.4544,0.4544,3.5913,7.306
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,sen.,0.4282,0.4282,3.5563,6.8326
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,sen.,0.4701,0.4701,3.7188,7.3011
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,29,sen.,0.4759,0.4759,3.633,7.2742
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,30,sen.,0.4691,0.4691,3.7788,7.1262
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,sen.,0.371093168,0.371093168,3.5168,6.9594
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,sen.,0.380177632,0.380177632,3.5098,6.9809
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,sen.,0.4509,0.4509,3.7294,7.0854
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,sen.,0.388,0.388,3.6876,7.2583
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,sen.,0.4284,0.4284,3.5712,7.0801
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,sen.,0.4599,0.4599,3.6402,7.1159
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,sen.,0.4607,0.4607,3.722,7.3318
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,sen.,0.4309,0.4309,3.6834,7.0568
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,sen.,0.4484,0.4484,3.6937,7.3167
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,sen.,0.4515,0.4515,3.6298,7.3132
