SynOpHIF,Entry,Year,Location,Rep,chr5AS_consensus,KASP_341510829,TGW,GL,GW,SPS,HD,GFD,HT
7-1201-4,7-1201-4-78-2-33,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-09,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-19,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-21,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-28,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-31,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-39,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-42,2019,Snyder,C,present,Opata,,,,,,,
7-1201-4,7-1201-4-81-1-43,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-16,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-18,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-12-1-22-06,2019,Snyder,C,absent,Opata,37.54129453,6.21845,3.1883,14.6,174,,110
7-956-2,7-956-2-12-1-22-08,2019,Snyder,C,present,Opata,36.28900275,6.2304,3.1177,16.6,176,,95
7-956-2,7-956-2-12-1-22-11,2019,Snyder,C,present,Opata,37.89776132,6.46625,3.14585,16.8,176,,105
7-956-2,7-956-2-12-1-22-12,2019,Snyder,C,present,Opata,38.37646709,6.37345,3.15475,15.4,176,,100
7-956-2,7-956-2-12-1-22-14,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-35-08,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-12-1-48-12,2019,Snyder,C,present,W7984,,,,,,,
7-956-2,7-956-2-12-1-53-06,2019,Snyder,C,absent,Opata,,,,,,,
7-956-2,7-956-2-12-1-53-09,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-69-02,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-69-03,2019,Snyder,C,present,Opata,38.48872165,6.29185,3.2667,15.4,178,,79
7-956-2,7-956-2-12-1-69-04,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-69-07,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-12-1-69-10,2019,Snyder,C,present,Opata,41.57402374,6.4444,3.35455,13.9,174,,78
7-956-2,7-956-2-12-1-69-12,2019,Snyder,C,present,Opata,40.98622361,6.4321,3.30365,16.3,178,,81
7-956-2,7-956-2-12-1-69-14,2019,Snyder,C,present,Opata,41.7654572,6.42745,3.385,15.8,174,,88
7-956-2,7-956-2-19-1-12-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-12-04,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-12-06,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-12-11,2019,Snyder,C,present,Opata,36.40610407,6.4801,3.2492,14.5,171,,80
7-956-2,7-956-2-19-1-13-04,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-13-05,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-13-06,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-13-09,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-13-10,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-13-15,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-18-16,2019,Snyder,C,present,Opata,36.6316738,6.5435,3.2486,17.1,172,,75
7-956-2,7-956-2-19-1-31-03,2019,Snyder,C,present,Opata,39.39412658,6.4793,3.2876,15.3,170,,75
7-956-2,7-956-2-19-1-31-05,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-33-01,2019,Snyder,C,present,Opata,36.70771309,6.4053,3.2667,15.7,170,,80
7-956-2,7-956-2-19-1-33-09,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-33-11,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-33-14,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-44,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-19-1-47-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-47-04,2019,Snyder,C,present,Opata,37.27243902,6.50645,3.28495,15.2,172,,72
7-956-2,7-956-2-19-1-47-09,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-19-1-54,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-30-1-22-01,2019,Snyder,C,absent,W7984,35.83929157,6.861,2.97525,14.6,172,,77
7-956-2,7-956-2-30-1-22-02,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-30-1-26-01,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-30-1-26-02,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-04-01,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-07-11,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-07-12,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-07-13,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-07-15,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-11-01,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-46-1-24-02,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-50-1-05-04,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-05-05,2019,Snyder,C,absent,W7984,30.9744366,6.45755,2.9128,17.3,172,,80
7-956-2,7-956-2-50-1-05-08,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-23-11,2019,Snyder,C,absent,W7984,29.23113108,6.2215,2.8972,15.1,169,,76
7-956-2,7-956-2-50-1-23-12,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-23-13,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-23-14,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-23-16,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-44-07,2019,Snyder,C,absent,W7984,32.49565108,6.5932,2.926,12.2,173,,76
7-956-2,7-956-2-50-1-44-08,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-44-09,2019,Snyder,C,absent,W7984,34.78912502,6.71335,2.9871,16.4,176,,85
7-956-2,7-956-2-50-1-44-10,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-50,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-54-07,2019,Snyder,C,present,Opata,38.43011541,6.5058,3.2757,15.9,171,,75
7-956-2,7-956-2-50-1-55-02,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-61-06,2019,Snyder,C,absent,W7984,,,,,,,
7-956-2,7-956-2-50-1-61-09,2019,Snyder,C,absent,W7984,32.16274179,6.3426,2.99925,13.8,168,,85
7-956-2,7-956-2-89-2-17-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-89-2-17-02,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-89-2-22-01,2019,Snyder,C,present,Opata,41.27966321,7.0398,3.26475,15.1,171,,78
7-956-2,7-956-2-89-2-22-02,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-9-2-03-02,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-9-2-03-05,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-9-2-07-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-9-2-20-01,2019,Snyder,C,present,Opata,,,,,,,
7-956-2,7-956-2-9-2-21-05,2019,Snyder,C,present,Opata,,,,,,,
7-1201-10,7-1201-10-14-2-14,2020,Caldwell,D,absent,W7984,32.87169465,7.0812,3.2469,13.5,172,29,65
7-1201-10,7-1201-10-15-2-31,2020,Caldwell,D,present,Opata,39.44419044,7.37435,3.5176,11.6,174,30,66
7-1201-10,7-1201-10-36-2-04,2020,Caldwell,D,present,Opata,41.44941424,7.15905,3.59045,12.9,173,28,66
7-1201-10,7-1201-10-36-2-10,2020,Caldwell,D,absent,W7984,31.76044757,6.8779,3.19585,12.1,174,28,60
7-1201-10,7-1201-10-36-2-18,2020,Caldwell,D,absent,W7984,31.79875016,6.8461,3.204,12.8,173,27,70
7-1201-10,7-1201-10-36-2-25,2020,Caldwell,D,present,Opata,38.57534937,7.03955,3.50605,11.7,174,28,68
7-1201-10,7-1201-10-43-2-03,2020,Caldwell,D,present,Opata,39.52161669,6.9833,3.53425,13,174,27,70
7-1201-10,7-1201-10-43-2-04,2020,Caldwell,D,present,Opata,35.23812902,6.7926,3.42425,13.9,176,27,60
7-1201-10,7-1201-10-43-2-12,2020,Caldwell,D,present,Opata,31.95668721,6.6355,3.278,14.2,175,27,62
7-1201-10,7-1201-10-43-2-16,2020,Caldwell,D,present,Opata,37.6063522,6.89105,3.50965,13.8,173,28,66
7-1201-10,7-1201-10-43-2-20,2020,Caldwell,D,present,Opata,36.99088551,6.84035,3.4605,13.3,174,27,72
7-1201-10,7-1201-10-43-2-22,2020,Caldwell,D,present,Opata,35.45608163,6.70735,3.43995,14.2,173,30,70
7-1201-10,7-1201-10-45-2-01,2020,Caldwell,D,absent,W7984,30.55789744,6.85575,3.16115,12.2,172,28,56
7-1201-10,7-1201-10-45-2-23,2020,Caldwell,D,absent,W7984,31.65137141,6.71875,3.1846,12.3,173,31,58
7-1201-10,7-1201-10-45-2-43,2020,Caldwell,D,present,Opata,35.7366678,6.77525,3.4087,13.8,174,34,62
7-1201-10,7-1201-10-45-2-61,2020,Caldwell,D,present,Opata,38.14473217,7.0839,3.5391,10.8,173,28,65
7-1201-10,7-1201-10-72-1-05,2020,Caldwell,D,absent,W7984,31.07102787,6.9176,3.22965,12.5,172,28,75
7-1201-10,7-1201-10-72-1-08,2020,Caldwell,D,absent,W7984,31.43539418,6.75855,3.2469,12.3,171,29,62
7-1201-10,7-1201-10-72-1-18,2020,Caldwell,D,absent,W7984,30.34031336,6.72835,3.19305,12.4,172,31,62
7-1201-10,7-1201-10-72-1-29,2020,Caldwell,D,absent,W7984,30.69733935,6.83945,3.228,11.7,170,28,68
7-1201-10,7-1201-10-72-1-30,2020,Caldwell,D,absent,W7984,31.67853535,6.75705,3.28135,11.4,171,27,60
7-1201-4,7-1201-4-27-1-26,2020,Caldwell,D,present,Opata,42.7170988,7.25945,3.66765,11.9,173,30,65
7-1201-4,7-1201-4-27-1-30,2020,Caldwell,D,absent,W7984,33.36573477,6.88715,3.30985,9.7,171,30,55
7-1201-4,7-1201-4-29-1-07,2020,Caldwell,D,absent,W7984,32.11981918,6.8247,3.26655,11.9,175,31,68
7-1201-4,7-1201-4-29-1-10,2020,Caldwell,D,absent,W7984,30.72222856,6.75385,3.20205,12.4,175,30,78
7-1201-4,7-1201-4-29-1-15,2020,Caldwell,D,absent,W7984,31.19552803,6.8688,3.2359,13.4,177,33,74
7-1201-4,7-1201-4-29-1-16,2020,Caldwell,D,absent,W7984,31.31864447,6.70985,3.2419,12,174,30,70
7-1201-4,7-1201-4-29-1-23,2020,Caldwell,D,absent,W7984,30.00720993,6.705,3.20745,13.1,176,29,70
7-1201-4,7-1201-4-29-1-27,2020,Caldwell,D,absent,W7984,32.10625609,6.7839,3.28805,12.4,175,29,74
7-1201-4,7-1201-4-29-1-28,2020,Caldwell,D,absent,W7984,31.84000326,6.93915,3.25595,12.1,175,29,70
7-1201-4,7-1201-4-29-1-32,2020,Caldwell,D,absent,W7984,32.9239617,6.8692,3.2926,13.2,174,31,70
7-1201-4,7-1201-4-29-1-33,2020,Caldwell,D,absent,W7984,39.81315822,6.9146,3.5416,11.5,182,27,66
7-1201-4,7-1201-4-43-1-14,2020,Caldwell,D,absent,W7984,33.12153429,6.7573,3.3094,13.7,172,31,65
7-1201-4,7-1201-4-47-2-19,2020,Caldwell,D,absent,W7984,32.35742221,6.77115,3.2029,11.5,171,30,65
7-1201-4,7-1201-4-50-1-08,2020,Caldwell,D,present,Opata,39.92929337,7.04055,3.57315,12.8,174,30,74
7-1201-4,7-1201-4-50-1-19,2020,Caldwell,D,absent,W7984,31.68472884,6.8878,3.2196,12.3,175,29,65
7-1201-4,7-1201-4-78-1-01,2020,Caldwell,D,present,Opata,37.84013986,6.7796,3.5111,11.1,171,29,64
7-1201-4,7-1201-4-78-2-02,2020,Caldwell,D,present,Opata,36.40519987,6.9264,3.5264,11.9,171,26,72
7-1201-4,7-1201-4-78-2-05,2020,Caldwell,D,present,Opata,38.74842803,6.85965,3.6076,11.9,171,28,66
7-1201-4,7-1201-4-78-2-10,2020,Caldwell,D,present,Opata,36.26563367,6.81185,3.5467,13.2,171,29,68
7-1201-4,7-1201-4-78-2-15,2020,Caldwell,D,present,Opata,39.58257904,7.0125,3.5739,12.3,171,27,74
7-1201-4,7-1201-4-78-2-25,2020,Caldwell,D,present,Opata,36.45418788,6.85135,3.5447,11.5,172,28,65
7-1201-4,7-1201-4-78-2-33,2020,Caldwell,D,present,Opata,39.96219664,6.9555,3.6681,13.5,171,28,78
7-1201-4,7-1201-4-81-1-09,2020,Caldwell,D,present,Opata,40.37509621,7.0593,3.65495,12.4,173,28,72
7-1201-4,7-1201-4-81-1-19,2020,Caldwell,D,present,Opata,41.22153576,7.16585,3.67115,12,172,29,76
7-1201-4,7-1201-4-81-1-21,2020,Caldwell,D,present,Opata,40.74777803,7.3152,3.60595,12.4,174,30,72
7-1201-4,7-1201-4-81-1-28,2020,Caldwell,D,present,Opata,38.94649306,6.93155,3.61195,11.9,176,31,70
7-1201-4,7-1201-4-81-1-31,2020,Caldwell,D,present,Opata,39.89319984,7.12405,3.64665,11.8,174,28,70
7-1201-4,7-1201-4-81-1-39,2020,Caldwell,D,present,Opata,38.51599244,6.92625,3.5919,12.3,173,28,60
7-1201-4,7-1201-4-81-1-42,2020,Caldwell,D,present,Opata,41.56984923,7.2523,3.70005,12.9,173,29,80
7-1201-4,7-1201-4-81-1-43,2020,Caldwell,D,present,Opata,39.50288156,7.15745,3.63875,13.2,173,30,74
7-956-2,7-956-2-12-1-16,2020,Caldwell,D,present,Opata,37.24461957,6.79215,3.43575,12.1,174,31,72
7-956-2,7-956-2-12-1-18,2020,Caldwell,D,absent,W7984,27.01802139,6.22505,3.03815,13.9,180,32,68
7-956-2,7-956-2-12-1-22-06,2020,Caldwell,D,absent,Opata,33.87337578,6.46915,3.31585,12.4,178,32,75
7-956-2,7-956-2-12-1-22-08,2020,Caldwell,D,present,Opata,35.89892071,6.64055,3.38735,12.8,178,32,80
7-956-2,7-956-2-12-1-22-11,2020,Caldwell,D,present,Opata,35.53897002,6.67145,3.37035,12,178,29,76
7-956-2,7-956-2-12-1-22-12,2020,Caldwell,D,present,Opata,36.69795345,6.7104,3.37205,13.7,179,33,85
7-956-2,7-956-2-12-1-22-14,2020,Caldwell,D,present,Opata,36.41030394,6.8368,3.3871,14.5,179,30,86
7-956-2,7-956-2-12-1-35-08,2020,Caldwell,D,absent,W7984,31.82968868,6.6732,3.23195,11.5,174,33,65
7-956-2,7-956-2-12-1-48-12,2020,Caldwell,D,present,W7984,36.48838404,6.6563,3.4783,11.5,175,30,70
7-956-2,7-956-2-12-1-53-06,2020,Caldwell,D,absent,Opata,35.36877934,6.47465,3.38885,14.8,180,30,77
7-956-2,7-956-2-12-1-53-09,2020,Caldwell,D,present,Opata,40.95381611,6.954,3.50365,12.5,184,32,88
7-956-2,7-956-2-12-1-69-02,2020,Caldwell,D,present,Opata,40.29858148,6.90375,3.57325,12.5,174,33,72
7-956-2,7-956-2-12-1-69-03,2020,Caldwell,D,present,Opata,37.83015948,6.61005,3.4824,12.8,180,30,70
7-956-2,7-956-2-12-1-69-04,2020,Caldwell,D,present,Opata,40.02936228,6.75845,3.54765,13.2,180,31,72
7-956-2,7-956-2-12-1-69-07,2020,Caldwell,D,present,Opata,40.71346606,6.8562,3.5682,12.5,175,34,75
7-956-2,7-956-2-12-1-69-10,2020,Caldwell,D,present,Opata,38.89320437,6.80765,3.5354,13.9,177,34,70
7-956-2,7-956-2-12-1-69-12,2020,Caldwell,D,present,Opata,39.48446131,6.7972,3.52265,12.9,179,31,68
7-956-2,7-956-2-12-1-69-14,2020,Caldwell,D,present,Opata,37.73841853,6.8229,3.4917,13.5,175,35,70
7-956-2,7-956-2-19-1-12-01,2020,Caldwell,D,present,Opata,36.52838736,6.8375,3.51995,13.1,173,29,66
7-956-2,7-956-2-19-1-12-04,2020,Caldwell,D,present,Opata,35.65391148,6.8406,3.47005,12.8,173,28,66
7-956-2,7-956-2-19-1-12-06,2020,Caldwell,D,present,Opata,33.01136853,6.7617,3.40155,12.7,173,26,60
7-956-2,7-956-2-19-1-12-11,2020,Caldwell,D,present,Opata,37.65594957,6.90115,3.57005,12.3,174,27,55
7-956-2,7-956-2-19-1-13-04,2020,Caldwell,D,present,Opata,37.96875,6.79635,3.5996,13.1,173,30,58
7-956-2,7-956-2-19-1-13-05,2020,Caldwell,D,present,Opata,39.96102628,6.85955,3.6451,11.7,171,30,55
7-956-2,7-956-2-19-1-13-06,2020,Caldwell,D,present,Opata,37.58746588,6.9697,3.55465,12.8,175,27,68
7-956-2,7-956-2-19-1-13-09,2020,Caldwell,D,present,Opata,37.77085985,6.85635,3.5915,12.9,174,29,62
7-956-2,7-956-2-19-1-13-10,2020,Caldwell,D,present,Opata,38.00320751,6.75915,3.6154,12.5,173,29,58
7-956-2,7-956-2-19-1-13-15,2020,Caldwell,D,present,Opata,38.03957701,6.8683,3.5751,12.1,173,26,58
7-956-2,7-956-2-19-1-18-16,2020,Caldwell,D,present,Opata,37.32304191,6.8293,3.5517,12.7,174,28,62
7-956-2,7-956-2-19-1-31-03,2020,Caldwell,D,present,Opata,38.61154108,6.87505,3.59295,13.3,173,30,64
7-956-2,7-956-2-19-1-31-05,2020,Caldwell,D,present,Opata,34.12956198,6.5421,3.4891,12,174,31,52
7-956-2,7-956-2-19-1-33-01,2020,Caldwell,D,present,Opata,36.54621569,6.6725,3.52365,12,173,29,56
7-956-2,7-956-2-19-1-33-09,2020,Caldwell,D,present,Opata,38.17588889,6.80575,3.57585,12.2,173,29,60
7-956-2,7-956-2-19-1-33-11,2020,Caldwell,D,present,Opata,38.79522222,6.83505,3.5776,12.4,173,30,56
7-956-2,7-956-2-19-1-33-14,2020,Caldwell,D,present,Opata,36.51783784,6.8561,3.5208,13.1,173,27,64
7-956-2,7-956-2-19-1-44,2020,Caldwell,D,absent,W7984,31.66743651,6.60225,3.32755,13.1,175,28,58
7-956-2,7-956-2-19-1-47-01,2020,Caldwell,D,present,Opata,36.19804695,6.74195,3.52455,11.7,173,29,55
7-956-2,7-956-2-19-1-47-04,2020,Caldwell,D,present,Opata,35.09789874,6.67565,3.50515,12.7,175,28,62
7-956-2,7-956-2-19-1-47-09,2020,Caldwell,D,present,Opata,37.42575359,6.7548,3.5816,12.4,171,30,64
7-956-2,7-956-2-19-1-54,2020,Caldwell,D,present,Opata,37.76904187,6.89425,3.60165,13.1,174,27,55
7-956-2,7-956-2-30-1-22-01,2020,Caldwell,D,absent,W7984,33.7532273,7.32625,3.1811,12.2,175,30,62
7-956-2,7-956-2-30-1-22-02,2020,Caldwell,D,absent,W7984,33.4768287,7.30815,3.19575,11.9,175,31,55
7-956-2,7-956-2-30-1-26-01,2020,Caldwell,D,absent,W7984,34.0493054,7.3283,3.21155,12.5,174,30,56
7-956-2,7-956-2-30-1-26-02,2020,Caldwell,D,absent,W7984,35.08922916,7.42615,3.2558,13.3,174,31,54
7-956-2,7-956-2-46-1-04-01,2020,Caldwell,D,absent,W7984,27.49285714,6.5843,3.0612,12.4,172,26,50
7-956-2,7-956-2-46-1-07-11,2020,Caldwell,D,absent,W7984,30.81797,6.8222,3.1462,12.1,171,29,60
7-956-2,7-956-2-46-1-07-12,2020,Caldwell,D,absent,W7984,28.07047802,6.74995,3.09755,11.7,173,30,60
7-956-2,7-956-2-46-1-07-13,2020,Caldwell,D,absent,W7984,30.63385504,6.79545,3.16195,10.4,171,29,50
7-956-2,7-956-2-46-1-07-15,2020,Caldwell,D,absent,W7984,27.25518705,6.7097,2.9986,12.8,173,29,56
7-956-2,7-956-2-46-1-11-01,2020,Caldwell,D,absent,W7984,27.78205218,6.5889,3.06065,12,173,28,56
7-956-2,7-956-2-46-1-24-02,2020,Caldwell,D,absent,W7984,29.1848904,6.60385,3.122,11.8,173,29,55
7-956-2,7-956-2-50-1-01,2020,Caldwell,D,present,Opata,32.7020802,6.8189,3.24775,13.9,173,29,60
7-956-2,7-956-2-50-1-05-04,2020,Caldwell,D,absent,W7984,29.62123219,6.71165,3.121,13.3,174,31,65
7-956-2,7-956-2-50-1-05-05,2020,Caldwell,D,absent,W7984,29.79194793,6.72095,3.11845,12.9,175,30,68
7-956-2,7-956-2-50-1-05-08,2020,Caldwell,D,absent,W7984,30.80394871,6.6642,3.1852,13.9,174,31,70
7-956-2,7-956-2-50-1-23-11,2020,Caldwell,D,absent,W7984,31.14180121,6.73655,3.19075,11.5,171,29,60
7-956-2,7-956-2-50-1-23-12,2020,Caldwell,D,absent,W7984,29.00983409,6.4383,3.14415,12.5,173,29,56
7-956-2,7-956-2-50-1-23-13,2020,Caldwell,D,absent,W7984,31.88690787,6.7552,3.2151,13.2,172,29,64
7-956-2,7-956-2-50-1-23-14,2020,Caldwell,D,absent,W7984,29.91912728,6.77465,3.1476,12,172,26,56
7-956-2,7-956-2-50-1-23-16,2020,Caldwell,D,absent,W7984,31.21331883,6.79355,3.20355,12,173,29,60
7-956-2,7-956-2-50-1-44-07,2020,Caldwell,D,absent,W7984,31.40205702,6.8203,3.196,12.6,177,31,60
7-956-2,7-956-2-50-1-44-08,2020,Caldwell,D,absent,W7984,32.68162017,6.9272,3.21815,13.5,177,29,60
7-956-2,7-956-2-50-1-44-09,2020,Caldwell,D,absent,W7984,32.79613139,7.00455,3.2155,14.2,178,30,62
7-956-2,7-956-2-50-1-44-10,2020,Caldwell,D,absent,W7984,33.93656071,6.9749,3.25915,13.5,177,30,60
7-956-2,7-956-2-50-1-50,2020,Caldwell,D,absent,W7984,30.788602,6.81895,3.1555,13,175,31,65
7-956-2,7-956-2-50-1-54-07,2020,Caldwell,D,present,Opata,40.24194358,6.952,3.59135,14.2,173,29,72
7-956-2,7-956-2-50-1-55-02,2020,Caldwell,D,absent,W7984,29.31950157,6.6529,3.11,12.2,175,29,65
7-956-2,7-956-2-50-1-61-06,2020,Caldwell,D,absent,W7984,29.39051463,6.65155,3.1317,12.2,172,28,62
7-956-2,7-956-2-50-1-61-09,2020,Caldwell,D,absent,W7984,31.2272271,6.74185,3.18575,13.4,171,29,65
7-956-2,7-956-2-89-2-17-01,2020,Caldwell,D,present,Opata,39.23214854,7.03035,3.55035,13.4,173,28,58
7-956-2,7-956-2-89-2-17-02,2020,Caldwell,D,present,Opata,38.67330882,7.1404,3.5022,12.2,173,26,70
7-956-2,7-956-2-89-2-22-01,2020,Caldwell,D,present,Opata,41.82220502,7.397,3.54885,11.9,172,29,65
7-956-2,7-956-2-89-2-22-02,2020,Caldwell,D,present,Opata,44.69862205,7.654,3.65585,12.3,174,29,60
7-956-2,7-956-2-9-2-03-02,2020,Caldwell,D,present,Opata,43.04830357,7.2289,3.6164,13.7,176,35,46
7-956-2,7-956-2-9-2-03-05,2020,Caldwell,D,present,Opata,41.44589077,7.10865,3.62125,13.7,176,29,48
7-956-2,7-956-2-9-2-07-01,2020,Caldwell,D,present,Opata,33.23700218,7.1508,3.37445,10.8,173,32,58
7-956-2,7-956-2-9-2-20-01,2020,Caldwell,D,present,Opata,40.93392493,7.13815,3.5898,12.8,174,32,52
7-956-2,7-956-2-9-2-21-05,2020,Caldwell,D,present,Opata,45.15691591,7.30655,3.65585,12.6,175,26,60
7-1201-10,7-1201-10-14-2-14,2020,Helfer,E,absent,W7984,27.87746388,6.8935,3.05185,12.2,171,28,55
7-1201-10,7-1201-10-15-2-31,2020,Helfer,E,present,Opata,37.75632173,7.14565,3.40475,11.1,171,29,60
7-1201-10,7-1201-10-36-2-04,2020,Helfer,E,present,Opata,36.32532918,6.9156,3.4359,10.4,171,28,55
7-1201-10,7-1201-10-36-2-10,2020,Helfer,E,absent,W7984,30.83607394,6.76745,3.1487,11.5,172,29,60
7-1201-10,7-1201-10-36-2-18,2020,Helfer,E,absent,W7984,29.70631293,6.6988,3.1373,11.2,171,28,58
7-1201-10,7-1201-10-36-2-25,2020,Helfer,E,present,Opata,36.78847093,6.98895,3.404,10,171,30,58
7-1201-10,7-1201-10-43-2-03,2020,Helfer,E,present,Opata,33.84898906,6.6732,3.32555,11.3,171,27,58
7-1201-10,7-1201-10-43-2-04,2020,Helfer,E,present,Opata,34.04171386,6.6697,3.33155,11.4,173,29,60
7-1201-10,7-1201-10-43-2-12,2020,Helfer,E,present,Opata,35.93092513,6.75705,3.3935,12.5,173,28,58
7-1201-10,7-1201-10-43-2-16,2020,Helfer,E,present,Opata,35.34584988,6.8835,3.36325,11.3,171,28,60
7-1201-10,7-1201-10-43-2-20,2020,Helfer,E,present,Opata,32.54046332,6.67385,3.3549,11.7,171,28,60
7-1201-10,7-1201-10-43-2-22,2020,Helfer,E,present,Opata,33.43146259,6.57475,3.338,11.6,171,30,55
7-1201-10,7-1201-10-45-2-01,2020,Helfer,E,absent,W7984,26.85339518,6.59955,3.0526,12.6,170,30,55
7-1201-10,7-1201-10-45-2-23,2020,Helfer,E,absent,W7984,25.68153846,6.46435,2.9819,11.4,171,30,55
7-1201-10,7-1201-10-45-2-43,2020,Helfer,E,present,Opata,34.13061517,6.6576,3.3654,11.7,172,29,50
7-1201-10,7-1201-10-45-2-61,2020,Helfer,E,present,Opata,36.44194127,6.9162,3.42985,11.5,170,30,60
7-1201-10,7-1201-10-72-1-05,2020,Helfer,E,absent,W7984,25.69261132,6.4687,3.0351,9.3,171,27,55
7-1201-10,7-1201-10-72-1-08,2020,Helfer,E,absent,W7984,28.42520056,6.6503,3.1179,11.8,170,28,55
7-1201-10,7-1201-10-72-1-18,2020,Helfer,E,absent,W7984,27.6461169,6.58505,3.08475,11.3,170,26,55
7-1201-10,7-1201-10-72-1-29,2020,Helfer,E,absent,W7984,24.83584224,6.61375,2.9728,10.5,171,29,62
7-1201-10,7-1201-10-72-1-30,2020,Helfer,E,absent,W7984,27.31071116,6.5818,3.07145,10.4,169,27,55
7-1201-4,7-1201-4-27-1-26,2020,Helfer,E,present,Opata,41.0189744,7.2658,3.56325,11,171,29,68
7-1201-4,7-1201-4-27-1-30,2020,Helfer,E,absent,W7984,32.09291237,6.74705,3.26525,10.1,170,32,61
7-1201-4,7-1201-4-29-1-07,2020,Helfer,E,absent,W7984,30.20091682,6.70045,3.1929,11.2,173,31,60
7-1201-4,7-1201-4-29-1-10,2020,Helfer,E,absent,W7984,29.32654632,6.6641,3.1661,11.5,174,30,60
7-1201-4,7-1201-4-29-1-15,2020,Helfer,E,absent,W7984,29.98452008,6.6871,3.1998,10.9,174,31,55
