,entry,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
1,7-1201-10-14-2-14,32.27785838,6.784242426,3.119811893,13.97766138,172.16756,28.88367112,73.59257817
2,7-1201-10-15-2-31,40.69321892,7.109863682,3.379061911,12.99807891,172.4078166,29.12826766,72.81662376
3,7-1201-10-36-2-04,40.23310284,6.899008569,3.40680272,13.40672845,172.4078166,29.47588243,71.17239544
4,7-1201-10-36-2-10,34.14161694,6.674796892,3.120893022,13.30010808,172.8883297,29.63563229,68.68390577
5,7-1201-10-36-2-18,33.16118768,6.568776118,3.106482053,13.62467487,172.4078166,29.13129625,72.3864889
6,7-1201-10-36-2-25,39.42721725,6.847135691,3.36947917,13.15262276,173.3688429,30.10665382,69.71280613
7,7-1201-10-43-2-03,38.52362372,6.6799645,3.353557142,13.72316684,173.1880806,29.91448789,71.28139081
8,7-1201-10-43-2-04,36.71245476,6.553058918,3.302350836,13.93611543,174.8103824,31.55454721,67.85295629
9,7-1201-10-43-2-12,34.93482971,6.453967884,3.23579766,13.9795687,174.1367821,30.88405398,67.76771562
10,7-1201-10-43-2-16,37.63250296,6.679575884,3.327334076,13.6415942,172.5556129,29.29667159,69.69658233
11,7-1201-10-43-2-20,37.1461348,6.583960063,3.361033159,13.65872589,172.8718467,29.58465708,73.36593182
12,7-1201-10-43-2-22,36.25169323,6.497606265,3.310297227,14.035838,172.5556129,29.29467896,69.97057711
13,7-1201-10-45-2-01,31.02221815,6.550478117,3.072279037,13.59625514,172.16756,28.9245571,67.78575753
14,7-1201-10-45-2-23,30.52706997,6.415469198,3.011158345,13.66789267,172.8883297,29.67651826,62.87708513
15,7-1201-10-45-2-43,35.95289306,6.569364104,3.280871546,14.09153446,174.239347,31.00587502,64.89483468
16,7-1201-10-45-2-61,37.93718792,6.814576012,3.375437669,13.13194257,171.9273034,28.65876042,71.57265597
17,7-1201-10-72-1-05,31.69128946,6.547656816,3.101229355,13.33924502,171.9231452,28.64498051,72.76968521
18,7-1201-10-72-1-08,31.91874943,6.532290277,3.111800019,13.44554746,170.9744437,27.72523028,69.43349074
19,7-1201-10-72-1-18,31.17069939,6.513264267,3.073605554,13.6244625,172.239379,28.98875976,68.7671807
20,7-1201-10-72-1-29,30.46847541,6.555994426,3.050091304,13.23973936,171.6870468,28.39902093,74.49928469
21,7-1201-10-72-1-30,32.03497755,6.525327567,3.130319042,13.23917874,170.6582098,27.40536264,70.14805783
22,7-1201-4-27-1-26,40.49125784,7.045495917,3.423460487,13.5411887,171.5080768,28.25605028,71.73234659
23,7-1201-4-27-1-30,32.18894381,6.643059486,3.131742756,12.86190367,170.4024766,27.18977606,66.9294154
24,7-1201-4-29-1-07,31.32642717,6.603408369,3.08060719,13.36224982,173.9106426,30.66870117,68.70428599
25,7-1201-4-29-1-10,30.33519602,6.534081449,3.048627861,13.48955037,174.8716689,31.62588719,68.6114124
26,7-1201-4-29-1-15,30.02945269,6.595340634,3.059246566,13.55011016,176.4109195,33.17161474,66.50439053
27,7-1201-4-29-1-16,31.00745736,6.491969136,3.080189481,13.66192614,173.9106426,30.67172976,68.27415113
28,7-1201-4-29-1-23,30.08844073,6.534619324,3.039962025,13.373919,175.7784519,32.54184263,66.56355077
29,7-1201-4-29-1-27,31.18248844,6.49733867,3.099772673,13.29414156,173.9106426,30.67021547,68.48921856
30,7-1201-4-29-1-28,30.54629915,6.632812377,3.04372592,13.3716612,175.8326952,32.59973046,66.15279706
31,7-1201-4-29-1-32,31.49587582,6.590528827,3.082474596,13.46113064,174.6314123,31.3979479,67.02162506
32,7-1201-4-29-1-33,32.30789463,6.579471746,3.107709149,13.19625159,178.9560308,35.72042795,64.45301958
33,7-1201-4-43-1-14,31.9496505,6.51124564,3.119835003,13.59214603,170.787307,27.61311839,61.15616394
34,7-1201-4-47-2-19,31.13960354,6.55180458,3.026415557,13.2812009,171.2678202,28.03113958,69.71242439
35,7-1201-4-50-1-08,37.62992396,6.747064806,3.33273158,13.24974733,173.1898728,29.93339726,71.24721665
36,7-1201-4-50-1-19,31.48744947,6.655244553,3.048333008,13.13303459,174.3911557,31.13972271,69.73318635
37,7-1201-4-78-1-01,37.07340019,6.606906517,3.347953397,13.23445383,170.0665373,26.83087132,70.36618496
38,7-1201-4-78-2-02,36.369843,6.700598156,3.381873845,14.01980391,169.105511,25.85248516,73.47000259
39,7-1201-4-78-2-05,36.81964654,6.556929488,3.383458683,13.60106199,169.8262807,26.57416041,72.86267882
40,7-1201-4-78-2-10,35.25458353,6.588681903,3.333382715,14.00853511,169.5860241,26.32956388,73.63863323
