,entry,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
49,7-1201-4-81-1-39,35.48977284,6.611181589,3.27687916,13.16083624,171.6207859,28.37546692,66.1488391
50,7-1201-4-81-1-42,35.75274347,6.876019317,3.276553356,14.20887543,171.8608407,28.61552165,75.64123181
51,7-1201-4-81-1-43,35.6375477,6.807804647,3.269798351,13.68485584,172.3409501,29.09563109,74.09595858
52,7-956-2-12-1-16,35.33844073,6.554755714,3.206932908,12.93014293,173.5078492,30.26253016,77.11598059
53,7-956-2-12-1-18,31.78093919,6.181992076,3.142544865,14.16395248,177.5703796,34.32506061,75.073115
54,7-956-2-12-1-22-06,38.58052884,6.46366431,3.395552223,13.90121931,174.9880716,31.74275261,90.04541372
55,7-956-2-12-1-22-08,33.25977405,6.38772622,3.128821076,14.06064853,176.6036868,33.35836782,84.09012317
56,7-956-2-12-1-22-11,34.24779942,6.567380014,3.147361424,13.7938115,176.6036868,33.35836782,86.9834621
57,7-956-2-12-1-22-12,34.40008199,6.515966354,3.133710446,13.99711591,176.7972708,33.5519518,89.51513367
58,7-956-2-12-1-22-14,33.75444575,6.5623744,3.133920217,14.21107972,177.10867,33.863351,82.63481356
59,7-956-2-12-1-35-08,36.48912884,6.609260197,3.307217099,13.81460608,172.2891757,29.0438567,78.82592142
60,7-956-2-12-1-48-12,33.23524359,6.416717307,3.184354686,13.01747953,174.9481775,31.7028585,73.36317417
61,7-956-2-12-1-53-06,37.48886334,6.48444233,3.371824041,14.3288289,178.2827778,35.03745879,83.61602529
62,7-956-2-12-1-53-09,35.76706896,6.708068063,3.208866012,13.19215273,181.6697097,38.42439074,91.46494632
63,7-956-2-12-1-69-02,35.60433135,6.615851484,3.243889949,13.74528452,173.7479039,30.50258488,70.49338102
64,7-956-2-12-1-69-03,33.96418482,6.351209388,3.215428947,13.62862667,178.9266945,35.68137553,70.8892643
65,7-956-2-12-1-69-04,36.51807232,6.5324482,3.289502518,13.81806502,177.8288342,34.58351517,77.33673391
66,7-956-2-12-1-69-07,37.25911862,6.656614503,3.301828772,13.77439672,174.2280133,30.98269433,72.92166753
67,7-956-2-12-1-69-10,36.53889034,6.545465995,3.286262354,13.33637659,174.6678471,31.42252807,70.52759693
68,7-956-2-12-1-69-12,36.04794071,6.540477517,3.239563519,13.93358328,177.5716067,34.3262877,71.79343271
69,7-956-2-12-1-69-14,36.62319354,6.599937425,3.296451516,13.90817023,174.2806791,31.03536012,75.04843901
70,7-956-2-19-1-12-01,33.98280074,6.634831155,3.261711431,13.83262112,171.5874114,28.34209237,70.05187438
