order,Group,Group_n,entry,TGW_BLUP,GW_BLUP,GL_BLUP,SPS_BLUP,HD_BLUP,HT_BLUP,GFD_BLUP,Phenotype_TGW,Phenotype_GW,CO
0.4,2,Group 2 (13),7-1201-4-81-1-42,38.71307591,3.436593757,6.97610784,14.23706934,171.7483334,76.76321282,28.45976084,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-43,38.58784156,3.428952135,6.907661572,13.72179944,172.2288465,74.99623657,28.95046822,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-20-01,40.74941167,3.469022768,6.92514897,13.82783915,171.4801754,63.68669261,28.28495618,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-21,39.73841699,3.429664698,7.110651969,12.96369266,173.1898728,68.23627261,29.9545974,Opata,Opata,452:455
0.5,3,Group 3 (7),7-1201-4-50-1-08,37.62992396,3.33273158,6.747064806,13.24974733,173.1898728,71.24721665,29.93339726,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-02,36.369843,3.381873845,6.700598156,14.01980391,169.105511,73.47000259,25.85248516,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-05,36.81964654,3.383458683,6.556929488,13.60106199,169.8262807,72.86267882,26.57416041,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-10,35.25458353,3.333382715,6.588681903,14.00853511,169.5860241,73.63863323,26.32956388,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-25,35.74681112,3.34204404,6.636567382,13.90662044,171.0275636,68.98290678,27.79714311,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-81-1-28,38.11729915,3.425241894,6.749645607,13.74483248,174.1508992,73.08994993,30.87695462,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-33,37.67543262,3.427797292,6.661421352,14.21285988,169.5860241,76.43450983,26.30987803,Opata,Opata,439:444
0.6,4,Group 4 (20),7-956-2-19-1-12-01,36.63703036,3.394326526,6.682786067,13.93681236,171.4801754,71.42912013,28.23044154,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-04,35.88496204,3.344803408,6.647327574,13.7709997,170.9996623,70.6152872,27.75790571,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-06,34.82971235,3.331878992,6.619366857,13.89712383,171.720432,68.71755884,28.48866674,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-11,36.33387793,3.377434256,6.640044054,13.47096449,171.2704085,69.37634587,28.03525196,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-04,36.28105456,3.396046505,6.543104798,13.67447172,170.7594057,68.16523014,27.53602361,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-05,38.82910359,3.481185479,6.670016606,13.54128905,168.5970965,69.77213403,25.37251214,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-06,36.72968373,3.359742657,6.727528106,13.75081494,172.4412018,80.36907864,29.12402716,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-33-09,37.00540042,3.39215198,6.626522159,13.63360676,170.7594057,68.38029757,27.53450931,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-09,36.475883,3.406083812,6.59101474,13.93445952,170.9996623,69.10981518,27.76850578,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-10,36.81836125,3.418185095,6.547997312,13.76864685,170.5191491,66.36037538,27.30959861,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-15,37.40984593,3.420236785,6.635059595,13.614103,169.5581228,65.80804668,26.35695548,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-18-16,36.15049983,3.374465707,6.639503553,13.94266164,172.0452694,68.2379085,28.81446969,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-31-03,37.89503477,3.407997493,6.643228092,13.58877977,170.8829781,69.59156375,27.6480854,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-33-01,35.45755669,3.345125394,6.537594665,13.63776957,171.0766933,66.29794747,27.86364943,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-33-11,38.07636711,3.433529767,6.594304955,13.37597181,170.9996623,67.1742083,27.78213444,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-33-14,35.73583142,3.315698902,6.664316828,13.71533667,170.7594057,69.88576959,27.52390924,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-47-01,36.73083402,3.40309842,6.587638905,13.49150813,169.5581228,66.6683164,26.3508983,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-47-04,35.32929141,3.361575694,6.563577992,13.54703767,172.0452694,65.75990278,28.83156583,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-47-09,37.97315475,3.4509507,6.622143359,13.50395336,169.3178662,69.16481026,26.09418739,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-54,35.34347536,3.347579946,6.634448031,13.830192,171.9606886,63.21012095,28.76657778,Opata,Opata,404:423
0.65,5,Group 5 (4),7-1201-10-36-2-10,34.14161694,3.120893022,6.674796892,13.30010808,172.8883297,68.68390577,29.63563229,W7984,W7984,334:337
0.65,5,Group 5 (4),7-1201-10-36-2-18,33.16118768,3.106482053,6.568776118,13.62467487,172.4078166,72.3864889,29.13129625,W7984,W7984,334:337
0.65,5,Group 5 (4),7-1201-10-45-2-01,31.02221815,3.072279037,6.550478117,13.59625514,172.16756,67.78575753,28.9245571,W7984,W7984,334:337
0.65,5,Group 5 (4),7-1201-10-45-2-23,30.52706997,3.011158345,6.415469198,13.66789267,172.8883297,62.87708513,29.67651826,W7984,W7984,334:337
0.7,6,Group 6 (19),7-956-2-50-1-23-11,29.52584057,3.026287424,6.452333188,13.52158903,169.5269715,69.99082549,26.29544475,W7984,W7984,474:476
0.7,6,Group 6 (19),7-956-2-50-1-23-12,29.55851917,3.045625299,6.2336533,13.35108136,171.4801754,68.84831095,28.24861309,W7984,W7984,474:476
0.7,6,Group 6 (19),7-956-2-50-1-23-13,31.98406676,3.10638971,6.54273786,13.52228071,170.2788925,69.93220639,27.04531623,W7984,W7984,474:476
0.7,6,Group 6 (19),7-956-2-50-1-23-14,31.02551774,3.055539751,6.573413921,13.16694135,170.038636,68.12735162,26.81889124,W7984,W7984,474:476
0.7,6,Group 6 (19),7-956-2-50-1-23-16,31.24605916,3.080811161,6.51189056,13.65193411,171.720432,67.85728912,28.49472392,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-10-72-1-05,31.69128946,3.101229355,6.547656816,13.33924502,171.9231452,72.76968521,28.64498051,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-10-72-1-08,31.91874943,3.111800019,6.532290277,13.44554746,170.9744437,69.43349074,27.72523028,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-10-72-1-18,31.17069939,3.073605554,6.513264267,13.6244625,172.239379,68.7671807,28.98875976,W7984,W7984,474:476
0.7,6,Group 6 (19),7-1201-10-72-1-29,30.46847541,3.050091304,6.555994426,13.23973936,171.6870468,74.49928469,28.39902093,W7984,W7984,474:476
